,A_index,BIN_LABEL,C_flare,DAY,ID,K_index,LABEL,N_PAIRS,N_STATIONS,PAIRS,STATIONS,TIME,YEAR,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,network,new_regions,prn,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area
11,12,0.0,3,1,11,3,3.0,5,6,"'ereccxec', 'qveccxec', 'cxecepec', 'cxectnec', 'quemcxec'","'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'",51210,2014,11.6363403659,24.4699982288,67.2264906343,1296.56346521,111.191649569,0.758876193846,37.6417704552,51.5658460827,1.73749429713,5.89198134396,0.960253903523,-7.92195473115,7.69993471197,regme,1,GPS 28,160,203.262578303,13.2179474848,106,610
12,12,0.0,3,1,12,4,3.0,2,3,"'quemcxec', 'cxecepec'","'quem', 'cxec', 'epec'",57600,2014,1.89967918192,27.2039799424,57.6133640365,1325.62903476,51.8293165815,7.91622481795,28.2909106404,71.1853219358,8.03088053636,5.06176924148,0.181466577248,-68.2375619098,6.31356943662,regme,1,GPS 4,160,163.381950551,13.5037513767,106,610
13,12,0.0,3,1,13,4,3.0,2,3,"'ereccxec', 'cxectnec'","'erec', 'cxec', 'tnec'",57780,2014,2.11569634671,24.4222107254,57.6133640365,1152.02728284,51.8293165815,8.63457952796,27.8886302412,50.4803342125,8.65789416572,5.25151846602,0.00206636008984,-68.2375619098,6.49958673238,regme,1,GPS 4,160,165.453730267,13.8510584953,106,610
14,12,0.0,3,1,14,4,3.0,2,4,"'qveccxec', 'quemepec'","'qvec', 'quem', 'cxec', 'epec'",60840,2014,0.45368749882,18.4424621295,58.6747282803,976.87588147,51.8293165815,8.20899443759,27.9143053481,188.172076572,8.17271329532,4.49716293304,0.00168480477425,-68.2375619098,3.61612534983,regme,1,GPS 4,160,80.9843300298,11.9740855507,106,610
15,12,0.0,3,1,15,3,3.0,2,4,"'quemepec', 'qvececec'","'qvec', 'quem', 'ecec', 'epec'",50220,2014,2.96546819969,28.9755248681,72.1329959959,1118.37348899,26.0743845401,3.95494357273,35.007073558,206.349272175,4.50404991463,2.97613487115,0.485191807952,-72.2326656947,5.20365236796,regme,1,GPS 9,160,119.646238906,10.2101235682,106,610
16,10,0.0,9,3,16,10,3.0,2,3,"'mhecclec', 'ljecclec'","'clec', 'ljec', 'mhec'",3870,2014,4.9712195581,33.1527915781,64.8647042846,346.317688353,30.2537766697,11.9013405803,33.29499825,31.9616202456,11.8024551843,5.02184642631,4.27649674909,0.38861327815,2.84217395569,regme,0,GPS 1,182,46.0334117347,3.87763540635,162,1570
17,10,0.0,9,3,17,2,3.0,7,9,"'cxecepec', 'cxecqvec', 'maecalec', 'cxectnec', 'maecerec', 'njecgyec', 'cxecerec'","'maec', 'gyec', 'cxec', 'njec', 'epec', 'erec', 'qvec', 'tnec', 'alec'",25980,2014,3.59525086805,-0.477917364042,66.1821600326,775.33527418,57.9095489956,11.0844521048,34.4278674714,189.023432851,11.2607705448,2.22013705976,36.5483881859,-54.6906071023,9.8319617514,regme,0,GPS 1,182,74.9315996555,9.89387814349,162,1570
18,10,0.0,9,3,18,2,3.0,2,3,"'mhecnjec', 'njecgyec'","'njec', 'gyec', 'mhec'",35070,2014,10.0424524909,31.5847280077,64.1248339494,1076.82428308,57.9095489956,12.3058158966,31.7990184043,97.7951171905,12.4462402324,1.73714038244,23.9437414669,-54.6906071023,8.8245459622,regme,0,GPS 1,182,135.937675981,9.34470017636,162,1570
19,10,0.0,9,3,19,10,3.0,3,4,"'cxecqvec', 'cxecerec', 'cxectnec'","'erec', 'cxec', 'tnec', 'qvec'",7110,2014,2.40693361402,12.6730038267,71.7804615175,248.263426681,28.0151948919,1.13863033833,38.0983621079,18.7435511549,1.22000096299,4.11984305436,0.0262792604264,-4.98426379439,2.25192314346,regme,0,GPS 11,182,45.6221272874,5.84510312858,162,1570
20,10,0.0,9,3,20,10,3.0,2,3,"'cxecquem', 'cxecepec'","'quem', 'cxec', 'epec'",7380,2014,0.619303065035,29.398490564,70.8182374901,247.937344856,28.0151948919,1.03586394278,38.4914457425,18.6379084409,1.07287970383,4.56567590724,0.0277103968561,-5.37155211816,1.73623501311,regme,0,GPS 11,182,38.8397382437,5.73869870667,162,1570
21,10,0.0,9,3,21,3,3.0,2,3,"'cxecqvec', 'ececqvec'","'qvec', 'ecec', 'cxec'",13530,2014,12.4232480512,34.0386968306,62.5687947563,817.231464423,42.6310777002,0.391506312437,28.6917454488,17.4858821054,0.523494123597,4.3133335289,0.0274970372261,-51.7905094517,4.10476486929,regme,0,GPS 13,182,81.7659507888,6.81974724032,162,1570
22,10,0.0,9,3,22,2,3.0,4,5,"'cxecquem', 'cxecepec', 'cxecerec', 'cxectnec'","'erec', 'quem', 'cxec', 'tnec', 'epec'",42750,2014,7.19757913157,21.2194644688,61.6028006108,489.068090141,42.6310777002,-0.11647349124,29.2442102316,22.2558409521,0.269639874754,6.10684274371,0.00863347633165,-19.736101351,3.19882432663,regme,0,GPS 13,182,80.6004727237,6.78507998974,162,1570
23,10,0.0,9,3,23,3,3.0,2,4,"'cxecepec', 'ececqvec'","'qvec', 'ecec', 'cxec', 'epec'",57300,2014,14.3303537821,105.053684099,37.2861954611,801.789181921,88.1668479987,3.13525311352,25.9641720476,9.18235406556,3.28439874316,2.64881381733,0.00261721241656,-3.12550308267,2.05178778116,regme,0,GPS 17,182,73.3807526671,8.52186007763,162,1570
24,10,0.0,9,3,24,2,3.0,3,6,"'mhecnjec', 'ljecclec', 'ececqvec'","'ecec', 'njec', 'ljec', 'clec', 'qvec', 'mhec'",33450,2014,6.37723852933,49.4873579393,67.3165139543,1105.14073814,22.748728747,8.2113601957,30.3233416712,21.000212869,8.30392419447,2.26261809339,0.00273170290179,-64.5584706086,1.68609258246,regme,0,GPS 26,182,45.5898660815,5.90421019329,162,1570
25,10,0.0,9,3,25,2,3.0,3,4,"'cxecepec', 'cxecerec', 'cxectnec'","'erec', 'cxec', 'tnec', 'epec'",41040,2014,8.31235372348,17.0668684361,68.704741536,397.603463893,18.5251465927,9.23699555077,36.0728285683,21.6265335875,8.92120425429,5.46325428166,0.00190496959216,-24.9855230912,2.85918044937,regme,0,GPS 26,182,64.325502317,5.46133500627,162,1570
26,10,0.0,9,3,26,2,3.0,2,3,"'cxecquem', 'cxecqvec'","'qvec', 'quem', 'cxec'",41940,2014,11.5227659956,29.8763967106,67.7412673203,299.917286456,18.0552288819,9.06012509938,36.769309352,25.3841789963,8.81430079027,6.06381494044,0.0087423809865,-24.9855230912,2.43205296531,regme,0,GPS 26,182,44.860456419,4.86175174235,162,1570
27,10,0.0,9,3,27,3,3.0,3,4,"'cxecepec', 'cxecqvec', 'cxectnec'","'qvec', 'cxec', 'tnec', 'epec'",81420,2014,-0.00671403498647,4.22655489775,14.7365954973,135.835520791,29.5684558233,24.5631161636,9.9130254215,30.416423392,24.7726446672,4.66022720722,14.3451362483,19.1443271886,2.39260606015,regme,0,GPS 27,182,30.6055796634,2.36219560749,162,1570
28,10,0.0,9,3,28,10,3.0,2,4,"'quemepec', 'mhecnjec'","'njec', 'epec', 'quem', 'mhec'",420,2014,3.83590883576,18.2475357317,84.9925837033,666.007144935,66.3277871677,7.27012522476,42.9145833588,66.5474107663,7.46068840095,2.37402058637,0.222068992626,-29.0399071211,2.08855503949,regme,0,GPS 3,182,56.8513389124,6.66158828321,162,1570
29,10,0.0,9,3,29,2,3.0,2,3,"'mhecclec', 'mhecnjec'","'njec', 'clec', 'mhec'",26520,2014,6.73365427997,17.7504271572,58.9749345801,950.042507986,74.2184932615,4.61964149449,31.923588681,65.2246170608,5.76938529041,2.19323700806,13.3437535714,-16.6175908963,7.46590064403,regme,0,GPS 4,182,164.422139027,11.1884781652,162,1570
30,10,0.0,9,3,30,3,3.0,6,7,"'cxecquem', 'cxecepec', 'cxecerec', 'cxectnec', 'ececqvec', 'cxecqvec'","'ecec', 'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'",60450,2014,5.51753081224,29.2635846436,58.7745908484,918.385654157,89.5953650415,8.56728884401,27.9006977456,33.8007204212,8.66626659013,3.73891408195,0.000491330420741,-30.1818076719,4.99962884378,regme,0,GPS 4,182,125.277212483,12.8997705904,162,1570
31,10,0.0,9,3,31,3,3.0,2,4,"'quemepec', 'ljecgzec'","'ljec', 'epec', 'quem', 'gzec'",79320,2014,-1.0330376528,5.45557430245,23.0447847513,319.089531491,30.4978288826,20.7442087299,12.4401169212,97.7385634335,20.9738332381,5.34529502569,2.57839304774,13.8089061803,1.21764185362,regme,0,GPS 6,182,43.3984787382,3.73796137779,162,1570
32,10,0.0,9,3,32,3,3.0,5,7,"'mhecclec', 'mhecnjec', 'cxecqvec', 'cxecepec', 'quemepec'","'cxec', 'njec', 'quem', 'epec', 'qvec', 'clec', 'mhec'",49530,2014,7.49517538217,30.2297464067,73.0765705271,5628.70438227,79.3495334363,3.42105570088,37.1890708501,90.3176347992,3.61743838465,2.04470829786,0.000908381675859,-24.437740072,3.52898336813,regme,0,GPS 9,182,287.819773184,8.66241489346,162,1570
