,A_index,C_flare,K_index,N_PAIRS,N_STATIONS,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,new_regions,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area,bucket_grad,bucket_grad_mean,k_index_bucket,elev_min_bucket,elev_mean_bucket,elev_max_bucket,grad_elev,BIN_LABEL,LABEL,prn,network,STATIONS,PAIRS,ID,YEAR,DAY,TIME
19,12,3,3,2,4,2.96546819969,28.9755248681,72.1329959959,1118.37348899,26.0743845401,3.95494357273,35.007073558,206.349272175,4.50404991463,2.97613487115,0.485191807952,-72.2326656947,5.20365236796,1,160,119.646238906,10.2101235682,106,610,5,3,2,0,2,3,52,0.0,3.0,GPS 9,regme,"'qvec', 'quem', 'ecec', 'epec'","'quemepec', 'qvececec'",15,2014,1,50220
20,10,9,10,2,3,4.9712195581,33.1527915781,64.8647042846,346.317688353,30.2537766697,11.9013405803,33.29499825,31.9616202456,11.8024551843,5.02184642631,4.27649674909,0.38861327815,2.84217395569,0,182,46.0334117347,3.87763540635,162,1570,3,1,4,0,2,3,32,0.0,3.0,GPS 1,regme,"'clec', 'ljec', 'mhec'","'mhecclec', 'ljecclec'",16,2014,3,3870
21,10,9,2,7,9,3.59525086805,-0.477917364042,66.1821600326,775.33527418,57.9095489956,11.0844521048,34.4278674714,189.023432851,11.2607705448,2.22013705976,36.5483881859,-54.6906071023,9.8319617514,0,182,74.9315996555,9.89387814349,162,1570,4,2,2,0,2,3,42,0.0,3.0,GPS 1,regme,"'maec', 'gyec', 'cxec', 'njec', 'epec', 'erec', 'qvec', 'tnec', 'alec'","'cxecepec', 'cxecqvec', 'maecalec', 'cxectnec', 'maecerec', 'njecgyec', 'cxecerec'",17,2014,3,25980
22,10,9,2,2,3,10.0424524909,31.5847280077,64.1248339494,1076.82428308,57.9095489956,12.3058158966,31.7990184043,97.7951171905,12.4462402324,1.73714038244,23.9437414669,-54.6906071023,8.8245459622,0,182,135.937675981,9.34470017636,162,1570,5,2,2,0,2,3,52,0.0,3.0,GPS 1,regme,"'njec', 'gyec', 'mhec'","'mhecnjec', 'njecgyec'",18,2014,3,35070
23,10,9,10,3,4,2.40693361402,12.6730038267,71.7804615175,248.263426681,28.0151948919,1.13863033833,38.0983621079,18.7435511549,1.22000096299,4.11984305436,0.0262792604264,-4.98426379439,2.25192314346,0,182,45.6221272874,5.84510312858,162,1570,3,1,4,0,2,3,32,0.0,3.0,GPS 11,regme,"'erec', 'cxec', 'tnec', 'qvec'","'cxecqvec', 'cxecerec', 'cxectnec'",19,2014,3,7110
24,10,9,10,2,3,0.619303065035,29.398490564,70.8182374901,247.937344856,28.0151948919,1.03586394278,38.4914457425,18.6379084409,1.07287970383,4.56567590724,0.0277103968561,-5.37155211816,1.73623501311,0,182,38.8397382437,5.73869870667,162,1570,3,1,4,0,2,3,32,0.0,3.0,GPS 11,regme,"'quem', 'cxec', 'epec'","'cxecquem', 'cxecepec'",20,2014,3,7380
25,10,9,3,2,3,12.4232480512,34.0386968306,62.5687947563,817.231464423,42.6310777002,0.391506312437,28.6917454488,17.4858821054,0.523494123597,4.3133335289,0.0274970372261,-51.7905094517,4.10476486929,0,182,81.7659507888,6.81974724032,162,1570,4,1,2,0,1,3,41,0.0,3.0,GPS 13,regme,"'qvec', 'ecec', 'cxec'","'cxecqvec', 'ececqvec'",21,2014,3,13530
26,10,9,2,4,5,7.19757913157,21.2194644688,61.6028006108,489.068090141,42.6310777002,-0.11647349124,29.2442102316,22.2558409521,0.269639874754,6.10684274371,0.00863347633165,-19.736101351,3.19882432663,0,182,80.6004727237,6.78507998974,162,1570,3,1,2,0,1,3,31,0.0,3.0,GPS 13,regme,"'erec', 'quem', 'cxec', 'tnec', 'epec'","'cxecquem', 'cxecepec', 'cxecerec', 'cxectnec'",22,2014,3,42750
27,10,9,3,2,4,14.3303537821,105.053684099,37.2861954611,801.789181921,88.1668479987,3.13525311352,25.9641720476,9.18235406556,3.28439874316,2.64881381733,0.00261721241656,-3.12550308267,2.05178778116,0,182,73.3807526671,8.52186007763,162,1570,4,1,2,0,1,2,41,0.0,3.0,GPS 17,regme,"'qvec', 'ecec', 'cxec', 'epec'","'cxecepec', 'ececqvec'",23,2014,3,57300
28,10,9,2,3,6,6.37723852933,49.4873579393,67.3165139543,1105.14073814,22.748728747,8.2113601957,30.3233416712,21.000212869,8.30392419447,2.26261809339,0.00273170290179,-64.5584706086,1.68609258246,0,182,45.5898660815,5.90421019329,162,1570,5,1,2,0,2,3,52,0.0,3.0,GPS 26,regme,"'ecec', 'njec', 'ljec', 'clec', 'qvec', 'mhec'","'mhecnjec', 'ljecclec', 'ececqvec'",24,2014,3,33450
