,A_index,C_flare,K_index,N_PAIRS,N_STATIONS,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,new_regions,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area,bucket_grad,bucket_grad_mean,k_index_bucket,elev_min_bucket,elev_mean_bucket,elev_max_bucket,grad_elev,BIN_LABEL,LABEL,prn,network,STATIONS,PAIRS,ID,YEAR,DAY,TIME
65,2,2,0,2,3,5.8309511619,36.4556629849,62.6680333914,192.312711451,16.820397948,1.59877638954,29.7970055071,15.7840767635,1.5648422782,5.00866280287,0.911266282374,-11.4102791039,1.56887420055,0,128,25.0537861289,2.81758115198,91,530,2,1,0,0,1,3,21,0.0,3.0,GPS 13,regme,"'qvec', 'ecec', 'cxec'","'cxecqvec', 'ececqvec'",61,2014,19,38730
66,2,2,2,2,3,1.93603883797,20.5081496948,85.9923617467,73.097110408,10.1735819286,1.00061919861,44.0079762174,7.82416690559,1.02388020653,4.14698992705,0.00508641392681,-2.00787860288,0.608495188592,0,128,10.788263276,2.7624678176,91,530,2,1,2,0,2,3,22,0.0,3.0,GPS 19,regme,"'erec', 'maec', 'alec'","'maecerec', 'erecalec'",63,2014,19,5250
67,2,2,2,4,6,-0.355165372137,24.9116263652,35.4810096818,384.210697199,17.8232248166,2.72069903155,28.2367555962,67.8990872045,2.75844532763,5.07343921486,0.00158654383328,-4.0301467431,0.581103327321,0,128,17.3982926159,4.76579566245,91,530,3,2,2,0,1,2,31,0.0,3.0,GPS 20,regme,"'maec', 'cxec', 'quem', 'epec', 'erec', 'alec'","'maecerec', 'epecquem', 'cxecerec', 'erecalec'",64,2014,19,3960
68,2,2,0,2,3,0.781598080764,32.6380405672,67.8628688999,206.045150456,11.3566291477,4.33574081538,34.3800745415,7.10817282363,4.38433760382,5.83129842143,0.000729399801388,-7.92526309199,1.13452028627,0,128,23.4934874497,2.99328696019,91,530,3,1,0,0,2,3,32,0.0,3.0,GPS 26,regme,"'erec', 'cxec', 'epec'","'cxecerec', 'epeccxec'",65,2014,19,32460
69,2,2,2,2,3,0.615996979069,17.9488931062,86.123598374,79.4420414847,14.3135168451,8.38721344704,49.2606857054,9.55594753259,8.37949121753,3.0549421651,0.00462868599513,5.83473625144,0.62709957254,0,128,12.2692760309,2.00758658379,91,530,2,1,2,0,2,3,22,0.0,3.0,GPS 3,regme,"'erec', 'maec', 'alec'","'maecerec', 'erecalec'",66,2014,19,5220
70,2,2,2,2,4,3.40514199092,11.5753179459,19.411231799,325.008583081,38.5886880091,8.49206543691,12.5397113535,34.2466072459,8.35269103041,4.36107243828,1.22188851684,-0.471123027502,3.16589539096,0,128,59.368860936,6.10243455218,91,530,3,1,2,0,0,1,30,0.0,3.0,GPS 31,regme,"'erec', 'maec', 'ljec', 'gzec'","'maecerec', 'ljecgzec'",67,2014,19,10290
71,2,2,0,2,3,2.27361289742,6.2863715946,57.6342841763,772.140079402,46.9486548536,3.98444031449,28.7190881129,84.4294108034,3.09519426795,6.66535106208,0.00204916752662,-48.9730282749,7.68668874855,0,128,181.467912315,11.4983088397,91,530,4,2,0,0,1,2,41,0.0,3.0,GPS 4,regme,"'quem', 'cxec', 'epec'","'cxecquem', 'epeccxec'",68,2014,19,53400
72,2,2,1,2,3,2.29259282331,6.95086058682,58.6958498844,616.13506593,46.9486548536,4.6937485148,28.4876476914,58.2853644375,3.82690628987,6.60501698003,0.0459132898634,-48.9730282749,7.66198463901,0,128,150.995004298,11.5246733395,91,530,4,2,1,0,1,2,41,0.0,3.0,GPS 4,regme,"'qvec', 'cxec', 'tnec'","'cxecqvec', 'cxectnec'",69,2014,19,54060
73,2,2,1,2,4,2.1917800847,104.480664588,58.7894936062,674.639257971,50.2647980318,5.40453440708,27.7356442452,34.7480086689,4.97281352676,3.42839906401,0.00770098296028,-48.8682279366,4.15398826669,0,128,93.7424984526,9.32207474597,91,530,4,1,1,0,1,2,41,0.0,3.0,GPS 4,regme,"'qvec', 'ecec', 'cxec', 'erec'","'cxecerec', 'ececqvec'",70,2014,19,57510
74,2,2,1,3,4,2.02123967088,17.9440476757,68.8143917858,683.342750426,20.9759316527,2.53369118329,36.0325654908,19.7993625134,3.01779456135,3.78601803664,0.00413604527153,-47.6975075938,2.31531625003,0,128,52.1356779386,6.05462215003,91,530,4,1,1,0,2,3,42,0.0,3.0,GPS 5,regme,"'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'epeccxec', 'cxectnec'",71,2014,19,57330
75,2,2,1,2,2,-1.53924473616,7.42444091751,36.8566302547,132.290113714,32.158518509,19.9537968907,14.336821625,22.0465040592,20.1675273372,4.30061146906,2.9582494694,8.88742620872,1.71668457065,0,128,30.5221718254,7.74624897347,91,530,2,1,1,0,0,2,20,0.0,3.0,GPS 6,regme,"'ibec', 'epec'",'epecibec',72,2014,19,72240
76,2,2,1,2,3,-1.00864133415,-1.29923467581,37.5581297376,133.711490501,36.527453275,19.267437692,15.9373813812,44.141850726,19.7386823047,2.99657895889,0.665940621897,8.75677621108,2.76904664185,0,128,45.4026780696,7.94124194832,91,530,2,1,1,0,1,2,21,0.0,3.0,GPS 6,regme,"'qvec', 'ecec', 'cxec'","'cxecqvec', 'ececqvec'",73,2014,19,78270
77,3,5,0,2,2,11.1474318724,18.4003425863,64.1581415565,801.602247163,65.5448301552,13.4425727691,37.6356010852,45.6547818717,13.6374944285,3.2700459877,0.0680843264981,9.65424494135,4.48592722971,2,137,147.287503625,7.76228566471,131,850,4,1,0,0,2,3,42,0.0,3.0,GPS 1,regme,"'njec', 'gyec'",'njecgyec',74,2014,20,11370
78,3,5,0,2,3,-0.932354535418,-1.15764065133,64.1581415565,125.682164152,19.8527050638,11.8284851847,42.6697200187,37.6131302929,11.8544413261,14.9096074879,0.403752319552,6.29172609464,2.4770707626,2,137,44.2799740191,2.95888453419,131,850,2,1,0,0,2,3,22,0.0,3.0,GPS 1,regme,"'njec', 'clec', 'mhec'","'mhecnjec', 'clecmhec'",75,2014,20,24150
79,3,5,0,2,3,0.11269804366,1.1484346439,35.8988424534,88.2686746281,18.5979219052,4.60953479435,25.8777231095,18.4417816154,4.67666539632,1.39568828262,0.00526042922519,-0.897370553701,1.40500568014,2,137,24.7048504094,5.26393652143,131,850,2,1,0,0,1,2,21,0.0,3.0,GPS 17,regme,"'njec', 'clec', 'mhec'","'mhecnjec', 'clecmhec'",76,2014,20,22530
80,3,5,0,2,3,7.33810654216,16.7906025568,37.3181357644,465.124986659,36.5964429459,2.35647929526,31.6336002573,35.6232913595,2.5382105162,27.2558835465,0.0084889280961,-6.57546346366,3.21635650979,2,137,78.588738253,4.84469861551,131,850,3,1,0,1,2,2,32,0.0,3.0,GPS 20,regme,"'njec', 'clec', 'mhec'","'mhecnjec', 'clecmhec'",77,2014,20,20580
81,3,5,1,4,5,0.806753163843,86.3998862355,59.2494651172,277.870305786,23.8305184424,16.7714393417,29.5521531355,6.70562364116,16.7258117867,8.2907930563,0.00118461487337,2.74891048342,0.963406334619,2,137,24.6839440961,4.1299518681,131,850,3,1,1,0,1,2,31,0.0,3.0,GPS 24,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",78,2014,20,71460
82,3,5,0,3,4,3.2346616272,8.8644955961,68.7541339757,789.749581985,54.5546632979,5.56854115585,32.929841132,52.6694093399,5.76805147281,2.83958808214,0.000611516407207,-65.6567720771,6.44978035769,2,137,130.716783644,8.18006990788,131,850,4,2,0,0,2,3,42,0.0,3.0,GPS 26,regme,"'qvec', 'ecec', 'cxec', 'tnec'","'cxecqvec', 'ececqvec', 'cxectnec'",79,2014,20,31890
83,3,5,1,2,3,3.400319644,8.98485830662,67.8648771073,649.788587059,47.2781648864,5.46530613829,35.0429966696,45.9785718202,6.14338577735,6.07304184281,0.000262696321912,-21.2518308181,6.11966933021,2,137,135.8573737,7.39280383347,131,850,4,1,1,0,2,3,42,0.0,3.0,GPS 26,regme,"'erec', 'cxec', 'epec'","'cxecerec', 'epeccxec'",80,2014,20,32430
84,3,5,1,2,4,-0.559708647041,8.56225550691,33.5599323803,516.567471169,41.7450639176,25.8417338475,14.4469563717,95.3703063579,25.1428847098,1.74894110773,0.756148271222,-0.495343307944,4.60155789353,2,137,91.5947383711,7.23067388177,131,850,4,2,1,0,0,2,40,0.0,3.0,GPS 27,regme,"'njec', 'qvec', 'ecec', 'gyec'","'njecgyec', 'ececqvec'",81,2014,20,72120
85,3,5,0,2,3,5.22522043045,6.02049886758,64.7410984431,721.013052308,42.4139962411,2.0152221714,20.7497054682,105.004120394,3.36599825056,5.63636175179,1.61685270906,-41.2202330467,8.11704694931,2,137,100.434810632,7.22549271476,131,850,4,2,0,0,1,3,41,0.0,3.0,GPS 28,regme,"'njec', 'gyec', 'mhec'","'mhecnjec', 'njecgyec'",82,2014,20,21120
86,3,5,1,2,3,19.0426386373,27.8809613442,66.1642879523,843.922054173,46.0864784397,0.914471124607,32.9959841905,30.6482066069,0.430920123038,4.23956189875,0.312770580216,-69.6321646798,5.63003626415,2,137,93.9074106415,7.63473251099,131,850,4,1,1,0,2,3,42,0.0,3.0,GPS 28,regme,"'qvec', 'ecec', 'cxec'","'cxecqvec', 'ececqvec'",83,2014,20,46350
87,3,5,0,2,3,-0.624202333687,0.0729227804872,51.7934481953,86.3173237809,9.91683796146,5.91962564563,22.302061723,32.3609930554,5.53746790378,3.61707267792,4.75940654691,-0.408287147844,1.69028501178,2,137,19.2731289705,2.25791479813,131,850,2,1,0,0,1,2,21,0.0,3.0,GPS 32,regme,"'njec', 'clec', 'mhec'","'mhecnjec', 'clecmhec'",84,2014,20,18540
88,3,5,1,3,5,1.0735168664,3.07280315147,38.9147516479,1148.21000997,43.2890169974,19.0091070504,17.8868463906,146.125045979,19.6329269081,4.15721805833,0.470178308298,10.2539302413,2.45111456873,2,137,118.358463764,5.64883436961,131,850,5,2,1,0,1,2,51,0.0,3.0,GPS 6,regme,"'quem', 'qvec', 'ecec', 'cxec', 'epec'","'epecquem', 'ececqvec', 'epeccxec'",85,2014,20,74700
89,3,5,1,5,6,1.82916722478,3.44130534699,39.7687054067,224.464649179,34.9897061089,16.7332275317,22.0019954117,32.5178302656,17.2994602524,5.84078236145,0.951267538003,10.2539302413,2.59035463764,2,137,57.3436035263,4.64540216982,131,850,3,1,1,0,1,2,31,0.0,3.0,GPS 6,regme,"'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'","'cxecquem', 'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",86,2014,20,79320
90,8,2,3,4,5,11.8451281453,14.9728923571,66.2201025148,916.479429559,76.3460908732,12.6353422193,35.3204522295,52.3225483752,12.6509257775,5.87553724352,0.0242251773167,-0.115806938356,5.64070795968,2,146,138.658100852,7.81246708962,141,820,4,2,2,0,2,3,42,0.0,3.0,GPS 1,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",87,2014,21,13980
92,8,2,2,4,7,11.8988249575,36.4704659245,63.5752706999,3861.96775346,17.5010936801,1.91007517108,29.1694753077,118.297944575,1.6323620111,3.7618172971,0.00229140111247,-77.7771029754,4.19088087806,2,146,258.151276234,6.17090813914,141,820,5,2,2,0,1,3,51,0.0,3.0,GPS 13,regme,"'gyec', 'ecec', 'njec', 'quem', 'epec', 'qvec', 'mhec'","'epecquem', 'njecgyec', 'ececqvec', 'mhecnjec'",89,2014,21,40530
93,8,2,8,2,3,0.244844670827,-1.3595477835,35.0589128622,751.171957788,53.4234588505,6.18224617212,26.7699940568,203.909912787,1.33632025219,7.95043291763,0.124152756812,-28.0674642933,11.3852383711,2,146,245.757293982,12.0252851599,141,820,4,3,4,0,1,2,41,0.0,3.0,GPS 14,regme,"'ibec', 'cxec', 'epec'","'epecibec', 'epeccxec'",90,2014,21,8640
94,8,2,2,2,3,2.26727331286,1.64833319984,35.0076315011,177.638619517,24.288493136,11.3513728297,24.1595421377,66.3089497645,11.7033707566,3.69041663349,40.5877595822,5.54391606587,2.64252187903,2,146,33.9766303578,3.19828325446,141,820,2,2,2,0,1,2,21,0.0,3.0,GPS 14,regme,"'njec', 'clec', 'mhec'","'mhecnjec', 'clecmhec'",91,2014,21,78510
95,8,2,2,2,3,1.43663623775,1.78097599854,86.719833091,256.396748295,21.6829200038,4.88641463218,41.0629365392,75.4307956469,4.80619888844,1.44105639516,41.7672466955,-5.54275625066,3.25846267095,2,146,50.0158789412,4.34113458598,141,820,3,2,2,0,2,3,32,0.0,3.0,GPS 15,regme,"'njec', 'clec', 'mhec'","'mhecnjec', 'clecmhec'",92,2014,21,42270
96,8,2,2,4,5,4.58690343314,7.75715245121,86.4324713764,704.688845375,42.0020372234,6.04366779323,43.7708823141,51.6703367088,5.793520268,6.28707854714,0.00394166722806,-46.9570696922,6.24444936047,2,146,140.771751691,8.12216084716,141,820,4,2,2,0,2,3,42,0.0,3.0,GPS 15,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",93,2014,21,64920
97,8,2,2,2,4,-1.18837855424,36.3464696529,55.5220862517,562.056278302,18.0814715424,8.6472652397,28.7859493256,168.295790686,8.63330218609,5.29971918018,1.66446537051,1.01836674557,0.69013296637,2,146,20.3945655476,3.24356684865,141,820,4,2,2,0,1,2,41,0.0,3.0,GPS 18,regme,"'ljec', 'gzec', 'quem', 'epec'","'epecquem', 'ljecgzec'",94,2014,21,50460
98,8,2,2,2,3,-0.825210900927,-1.04987031628,72.3539317479,807.565522159,62.0279902402,3.25724839975,38.6159187267,421.797002147,4.71286729413,1.71434982994,65.2395179478,-24.0891415811,19.1108761843,2,146,188.605170365,20.1850623564,141,820,4,3,2,0,2,3,42,0.0,3.0,GPS 22,regme,"'njec', 'clec', 'mhec'","'mhecnjec', 'clecmhec'",95,2014,21,80280
99,8,2,1,2,4,9.54789508732,45.2385459634,68.6019134202,578.707778082,34.2876913495,3.8973317375,30.0985180597,54.3967931079,3.92660302461,3.04510941973,9.09214495742,-42.9323610628,4.87438792123,2,146,88.0811049059,6.07665890295,141,820,4,2,1,0,2,3,42,0.0,3.0,GPS 26,regme,"'clec', 'coec', 'ibec', 'mhec'","'ibeccoec', 'clecmhec'",96,2014,21,27810
102,8,2,2,5,7,2.05909615818,43.3697624041,65.1114603161,758.880244362,37.4717386191,12.8632854087,31.7329155847,37.1385538258,13.1318356539,4.1876291095,0.000502425158724,-34.1668791539,3.12270898995,2,146,77.9311394951,6.63231870971,141,820,4,1,2,0,2,3,42,0.0,3.0,GPS 29,regme,"'cxec', 'njec', 'epec', 'erec', 'qvec', 'tnec', 'mhec'","'cxecqvec', 'mhecnjec', 'cxecerec', 'epeccxec', 'cxectnec'",99,2014,21,78150
107,8,2,8,3,6,0.38545927123,22.381998828,18.1193028789,453.138456904,40.1918023106,8.33041468166,12.8631617521,63.2403166098,8.65963909275,4.28147027856,0.000953220763381,-3.40246430339,1.77368711828,2,146,50.1834853576,7.21568369183,141,820,3,2,4,0,0,1,30,0.0,3.0,GPS 31,regme,"'maec', 'gyec', 'njec', 'quem', 'epec', 'erec'","'maecerec', 'epecquem', 'njecgyec'",104,2014,21,6840
108,8,2,8,3,5,0.508475807258,21.9477653784,18.9083118625,753.069604027,40.1918023106,5.33937962942,12.3423068953,111.840911342,5.80434419377,5.6975815223,0.0154350339521,-33.0977870735,6.6637540197,2,146,109.4373655,11.5723651065,141,820,4,2,4,0,0,1,40,0.0,3.0,GPS 31,regme,"'njec', 'erec', 'gyec', 'cxec', 'mhec'","'njecgyec', 'mhecnjec', 'cxecerec'",105,2014,21,7590
109,8,2,8,5,8,0.401014399603,4.42200284294,20.8147925211,587.678167347,44.7838981473,6.51823399017,13.0631627036,132.960979483,7.24899055272,2.68439934966,0.0375933963305,-33.0977870735,10.2702927994,2,146,87.4369874154,11.7740940472,141,820,4,2,4,0,0,1,40,0.0,3.0,GPS 31,regme,"'coec', 'ecec', 'cxec', 'ljec', 'ibec', 'qvec', 'tnec', 'gzec'","'ibeccoec', 'cxecqvec', 'ececqvec', 'ljecgzec', 'cxectnec'",106,2014,21,9390
110,8,2,1,4,5,-0.750487201412,3.02694230432,60.9213433909,332.911305888,23.5265338211,6.04999695515,32.4457117389,59.0863135359,5.45071042859,5.00357967637,0.000454937998664,-20.7797435503,4.44832447685,2,146,89.0679039708,6.43034290996,141,820,3,2,1,0,2,3,32,0.0,3.0,GPS 32,regme,"'erec', 'qvec', 'ecec', 'cxec', 'epec'","'cxecqvec', 'cxecerec', 'ececqvec', 'epeccxec'",107,2014,21,27570
111,8,2,2,5,6,1.07660808312,78.1983013794,58.6919106455,308.333373415,25.6928409811,4.40370787686,28.0115407047,11.9943997758,4.28531776586,4.78140064547,0.00173283461188,-2.38954502285,1.19840624163,2,146,27.4153584956,6.06642404831,141,820,3,1,2,0,1,2,31,0.0,3.0,GPS 4,regme,"'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'","'cxecquem', 'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",108,2014,21,56610
112,8,2,2,4,5,3.39217423696,24.2234449888,68.7582730392,851.139771151,35.2505866117,3.10497231781,35.9957663566,25.5199476438,3.79173745279,4.20248164729,0.00342607227886,-53.3002935967,3.46821492606,2,146,80.2680571973,7.02201900597,141,820,4,1,2,0,2,3,42,0.0,3.0,GPS 5,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",109,2014,21,58470
113,8,2,3,7,9,8.39669739311,10.5119231187,66.8406121328,733.453469951,73.0163247828,9.51667426022,50.1218769879,41.156456225,9.97193022127,5.0304449183,0.0209546198433,-23.4927348948,4.80705476445,2,146,94.2117795175,6.00899270726,141,820,4,1,2,0,2,3,42,0.0,3.0,GPS 6,regme,"'gyec', 'ecec', 'cxec', 'njec', 'ljec', 'pdec', 'qvec', 'clec', 'gzec'","'cxecqvec', 'njecgyec', 'ececqvec', 'clecljec', 'ljecgzec', 'pdecljec'",110,2014,21,11910
114,8,2,3,4,5,9.93103257197,33.4770458341,67.3883930405,467.455458507,42.1385651313,10.1372596432,48.8566229927,20.7022663897,10.4186900422,6.94311018077,0.0344190057088,3.86545717872,2.04011710743,2,146,62.0930071009,4.13552660794,141,820,3,1,2,0,2,3,32,0.0,3.0,GPS 6,regme,"'erec', 'quem', 'cxec', 'tnec', 'epec'","'cxecquem', 'cxecerec', 'epeccxec', 'cxectnec'",111,2014,21,15540
115,9,1,9,3,4,8.90859496672,16.2744815813,66.2232555273,758.402373283,55.8106143616,13.2469210985,35.7431444265,46.7962170835,13.1041045735,5.63342154922,0.0042496708889,-23.6854257686,7.1012980549,1,143,111.774609608,7.32938915102,144,670,4,1,4,0,2,3,42,0.0,3.0,GPS 1,regme,"'erec', 'cxec', 'tnec', 'epec'","'cxecerec', 'epeccxec', 'cxectnec'",112,2014,22,6480
116,9,1,9,3,4,4.86869405383,9.25100955611,65.6695057913,758.402373283,56.8508891583,14.4483389463,33.4868461279,62.7308106662,13.8753834063,5.18526960959,0.0112851079676,-34.6724255662,8.55808272823,1,143,138.702486876,9.39918288062,144,670,4,2,4,0,2,3,42,0.0,3.0,GPS 1,regme,"'ibec', 'qvec', 'cxec', 'epec'","'epecibec', 'cxecqvec', 'epeccxec'",113,2014,22,8400
119,9,1,3,2,4,0.31417014656,5.65441118983,62.6928544665,404.881597892,27.1280142957,2.70915968994,28.4520674348,111.917822406,2.3188305373,3.72739375876,0.0095654862032,-31.0662528304,2.87886938506,1,143,83.8424695236,5.80125941126,144,670,3,2,2,0,1,3,31,0.0,3.0,GPS 13,regme,"'quem', 'qvec', 'ecec', 'epec'","'epecquem', 'ececqvec'",118,2014,22,41880
122,9,1,3,2,3,0.417488022842,7.27075240184,55.5202163488,117.076788587,15.2078828662,9.23600986695,28.1102254611,11.9073746637,9.35012919697,3.13043544992,0.0237350274862,2.37708491119,1.27146791383,1,143,24.6731828415,2.57355021873,144,670,2,1,2,0,1,2,21,0.0,3.0,GPS 18,regme,"'qvec', 'cxec', 'epec'","'cxecqvec', 'epeccxec'",121,2014,22,53280
123,9,1,2,2,3,0.095031916725,7.98685262808,56.1796878081,99.2330905426,14.9446246278,8.90623041662,28.269940307,17.3504309081,9.0113900252,4.52756619727,0.0146453126605,2.37708491119,1.30922580882,1,143,20.2056776243,2.45179279389,144,670,2,1,2,0,1,2,21,0.0,3.0,GPS 18,regme,"'erec', 'cxec', 'tnec'","'cxecerec', 'cxectnec'",122,2014,22,54390
124,9,1,3,4,5,3.56932461827,3.92211358339,59.2295976632,265.906478011,27.4733176374,15.5948183509,30.3054881677,53.5307521723,15.4480930394,8.2842327558,19.7261770592,-8.5384519156,3.39726939834,1,143,57.9651358439,4.51702982158,144,670,3,2,2,0,2,2,32,0.0,3.0,GPS 24,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",123,2014,22,42600
127,9,1,2,2,2,4.76001702666,6.52080763432,62.0190364251,457.87176636,25.9254627012,2.97464436896,27.061373179,81.84350047,3.24886470867,5.09442609215,0.736442921376,-30.1046207795,5.36811050307,1,143,106.518130382,6.48199188555,144,670,3,2,2,0,1,3,31,0.0,3.0,GPS 28,regme,"'njec', 'mhec'",'mhecnjec',126,2014,22,11850
128,9,1,2,2,2,8.06267285309,17.8794812245,65.149170469,428.08869231,41.8599177587,0.0701812417099,31.1831374153,24.6156297661,0.405948871979,4.47672311302,0.0667074428206,-2.82761371538,2.85228470759,1,143,78.1314735176,5.69146239793,144,670,3,1,2,0,2,3,32,0.0,3.0,GPS 28,regme,"'qvec', 'ecec'",'ececqvec',127,2014,22,20010
129,9,1,2,2,4,-0.559938743898,5.44928103218,64.855767701,178.590328938,39.7927865263,14.1497664245,31.6859092285,39.9444796143,14.2166088388,2.2197489817,0.14843150937,4.01334865312,2.641125443,1,143,45.1405883441,8.01919252036,144,670,2,1,2,0,2,3,22,0.0,3.0,GPS 29,regme,"'njec', 'qvec', 'gyec', 'cxec'","'njecgyec', 'cxecqvec'",128,2014,22,80970
130,9,1,9,4,5,7.00186920437,24.3147055976,86.1577760787,5500.52999349,65.5859889178,9.66455746102,51.760254825,123.448780732,9.67280977668,3.3509905492,0.0053671104081,-7.34036573931,3.63837004682,1,143,272.813514865,5.15167227192,144,670,5,2,4,0,2,3,52,0.0,3.0,GPS 3,regme,"'cxec', 'coec', 'quem', 'ibec', 'epec'","'ibeccoec', 'epecibec', 'epecquem', 'epeccxec'",129,2014,22,6060
131,9,1,2,5,8,4.48377194508,24.475600082,86.1971621425,5500.52999349,65.5859889178,9.43928321137,55.717109779,102.939402058,9.58588208164,3.47197289415,0.00973137247469,-7.34036573931,2.64178800564,1,143,209.92452969,3.91314310141,144,670,5,2,2,0,2,3,52,0.0,3.0,GPS 3,regme,"'maec', 'cxec', 'njec', 'quem', 'epec', 'erec', 'alec', 'mhec'","'cxecquem', 'erecalec', 'epecquem', 'maecalec', 'mhecnjec'",130,2014,22,13800
132,9,1,2,3,6,2.67352933259,11.9242564558,85.7845782943,634.915268408,60.1957058194,9.24004520705,54.7376116542,34.0426894785,9.37829652305,3.47197289415,0.00229871110147,-6.92074148215,1.81502097689,1,143,39.7104100204,3.49919004549,144,670,4,1,2,0,2,3,42,0.0,3.0,GPS 3,regme,"'njec', 'ljec', 'quem', 'ibec', 'mhec', 'gzec'","'quemibec', 'mhecnjec', 'ljecgzec'",131,2014,22,15270
133,9,1,9,5,7,-0.557304642336,0.91231392299,18.2895523866,461.319114777,49.9144347424,9.40682649453,12.7979327142,71.8199644756,9.90441013978,6.56495781149,0.995838973518,-11.5214134699,4.67796032647,1,143,71.2392751048,8.38713242288,144,670,3,2,4,0,0,1,30,0.0,3.0,GPS 31,regme,"'cxec', 'ljec', 'epec', 'erec', 'qvec', 'tnec', 'gzec'","'cxecqvec', 'cxecerec', 'ljecgzec', 'epeccxec', 'cxectnec'",132,2014,22,8220
134,9,1,2,4,5,15.4895132983,51.3388028035,60.9632782328,602.985682,49.4636390689,6.24761629365,33.1528739935,16.7365089377,6.50301730945,7.39023974311,0.000232810296844,2.32730945147,2.41026172907,1,143,67.3264917151,4.60044014691,144,670,4,1,2,0,2,3,42,0.0,3.0,GPS 32,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",133,2014,22,25950
135,9,1,2,2,3,6.4283300965,49.1788161626,67.6412481445,851.733568707,25.2974223883,3.1259194831,36.3536998779,27.4409179242,3.50822312571,4.16258574305,0.00498690735337,-52.4058493993,3.68432398624,1,143,97.5896675108,7.33886865959,144,670,4,1,2,0,2,3,42,0.0,3.0,GPS 5,regme,"'erec', 'cxec', 'tnec'","'cxecerec', 'cxectnec'",134,2014,22,57540
136,9,1,2,2,3,3.07883084416,32.3973897788,68.7294591971,636.785251948,25.2974223883,3.49163159724,36.5716438223,22.9351044234,4.02123265441,3.73332179058,0.937453001404,-52.3716888187,2.72989218386,1,143,55.3902710214,6.41324143962,144,670,4,1,2,0,2,3,42,0.0,3.0,GPS 5,regme,"'qvec', 'cxec', 'epec'","'cxecqvec', 'epeccxec'",135,2014,22,58050
137,9,1,9,3,5,-0.587520632083,6.67200365582,67.2314425829,54.2883414415,13.3418171952,10.0841772672,46.245549191,8.73397221049,10.1189788299,3.67229318323,0.00170090840508,4.95675471123,0.385285881356,1,143,8.61388575447,1.91121877595,144,670,2,1,4,0,2,3,22,0.0,3.0,GPS 6,regme,"'erec', 'maec', 'alec', 'cxec', 'qvec'","'maecerec', 'cxecqvec', 'erecalec'",136,2014,22,6660
139,9,1,1,2,4,-0.257420698427,10.6603026211,43.4918066342,1253.69805441,37.9387407603,20.2642498044,21.3063105794,112.350834037,20.3684942502,4.18625608498,2.53181813463,13.0587685338,1.36939929596,1,143,117.124912326,5.20182263825,144,670,5,2,1,0,1,2,51,0.0,3.0,GPS 6,regme,"'njec', 'gyec', 'quem', 'epec'","'epecquem', 'njecgyec'",138,2014,22,72870
140,9,1,1,2,3,-0.148892626234,11.6897274974,41.0013103433,1253.69805441,38.3389296793,21.2741032016,17.7474421227,106.474188445,21.6285434462,4.18955081529,4.12550492075,13.2343690465,1.65132788707,1,143,127.568269471,5.13785606691,144,670,5,2,1,0,1,2,51,0.0,3.0,GPS 6,regme,"'quem', 'ibec', 'epec'","'epecibec', 'epecquem'",139,2014,22,74760
141,9,1,2,5,7,6.65047505785,40.2745376509,72.8387569931,907.389557215,71.5815388739,3.05420306292,37.7896574363,20.7477811823,3.12488323048,2.3981542388,0.000208713333882,-0.29900488922,1.59200719585,1,143,34.4163927989,3.8631490918,144,670,4,1,2,0,2,3,42,0.0,3.0,GPS 9,regme,"'cxec', 'njec', 'epec', 'erec', 'qvec', 'tnec', 'mhec'","'cxecqvec', 'mhecnjec', 'cxecerec', 'epeccxec', 'cxectnec'",140,2014,22,19320
142,6,0,6,6,10,14.5253549701,37.00232817,71.8244428735,1127.82852314,50.3015524506,2.98044080999,37.6852521376,60.4455914409,2.79856056461,3.73179265773,0.000759975594316,-66.9609821601,5.87579719403,0,136,100.621373326,8.03636284017,121,560,5,2,3,0,2,3,52,0.0,3.0,GPS 11,regme,"'maec', 'ecec', 'cxec', 'ljec', 'ibec', 'epec', 'erec', 'qvec', 'gzec', 'alec'","'maecalec', 'epecibec', 'maecerec', 'ececqvec', 'epeccxec', 'ljecgzec'",141,2014,23,6270
